
	//====================================
		//	Apocrypha - Raging Cat
		//====================================
		"npc_dota_hero_ursa"		"Atalanta Alter"

		"npc_dota_hero_ursa_hype"	""
		"npc_dota_hero_ursa_bio"	""

		"DOTA_Tooltip_Ability_atalanta_roar"	"<font color='#58ACFA'>Roar</font>"
		"DOTA_Tooltip_Ability_atalanta_roar_Description"	"Roars loudly, slowing down all the enemies in the path, damaging, pulling and applying stacks of <font color='#FFFF28'>Curse of the Calydonian Boar</font>."
		"DOTA_Tooltip_Ability_atalanta_roar_base_damage"	"Damage:"
		"DOTA_Tooltip_Ability_atalanta_roar_cast_range"	"Roar cast range:"
		"DOTA_Tooltip_Ability_atalanta_roar_distance"	"Roar distance:"
		"DOTA_Tooltip_Ability_atalanta_roar_width"	"Roar width:"
		"DOTA_Tooltip_Ability_atalanta_roar_ms_slow"	"%MS slow:"
		"DOTA_Tooltip_Ability_atalanta_roar_as_slow"	"ASPD slow:"
		"DOTA_Tooltip_Ability_atalanta_roar_duration"	"Slow duration:"
		//"DOTA_Tooltip_Ability_atalanta_roar_duration_locked"	"Lock duration:"
		"DOTA_Tooltip_Ability_atalanta_roar_base_stacks"	"Curse stack count:"

		"DOTA_Tooltip_Ability_atalanta_roar_upgrade"	"<font color='#9FFFCC'>Roar</font>"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_Description"	"Roars loudly, slowing down all the enemies in the path, damaging, pulling and applying stacks of <font color='#FFFF28'>Curse of the Calydonian Boar</font>. Deals more echoing damage based on amount of enemies hit."
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_base_damage"	"Damage:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_echo_damage"	"Echo damage:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_cast_range"	"Roar cast range:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_distance"	"Roar distance:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_width"	"Roar width:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_ms_slow"	"%MS slow:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_as_slow"	"ASPD slow:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_duration"	"Slow duration:"
		"DOTA_Tooltip_Ability_atalanta_roar_upgrade_base_stacks"	"Curse stack count:"

		"DOTA_Tooltip_Ability_atalanta_ora"	"Attack of the Beast"
		"DOTA_Tooltip_Ability_atalanta_ora_Description"	"Atalanta enters enraged state, significantly increasing her attack speed, attack range and dealing additional magic damage with her attacks.\nDeals 1 additional damage per curse stack."
		"DOTA_Tooltip_Ability_atalanta_ora_duration"	"Duration:"
		"DOTA_Tooltip_Ability_atalanta_ora_base_damage"	"Base damage:"
		"DOTA_Tooltip_Ability_atalanta_ora_as_bonus"	"ASPD bonus:"
		"DOTA_Tooltip_Ability_atalanta_ora_attack_range_bonus"	"Attack range bonus:"
		//"DOTA_Tooltip_Ability_atalanta_ora_base_attack_count" "Base attack count:"
		//"DOTA_Tooltip_Ability_atalanta_ora_attack_rate"	"Attack rate:"
		//"DOTA_Tooltip_Ability_atalanta_ora_total_damage"	"%Outgoing damage:"
		//"DOTA_Tooltip_Ability_atalanta_ora_reduce_damage"	"%Incoming damage:"
		//"DOTA_Tooltip_Ability_atalanta_ora_radius"	"Attack search radius:"

		"DOTA_Tooltip_Ability_atalanta_pull"	"Hunter's Curse"
		"DOTA_Tooltip_Ability_atalanta_pull_Description"	"Atalanta tries to use Mana Burst. Though she does not have enough mana to use it properly, her power is enough to annihilate some air. Deals damage to all enemies in radius, slows and curses them."
		"DOTA_Tooltip_Ability_atalanta_pull_radius" "Radius:"
		"DOTA_Tooltip_Ability_atalanta_pull_damage" "Damage:"
		"DOTA_Tooltip_Ability_atalanta_pull_slow"	"%MS slow:"
		"DOTA_Tooltip_Ability_atalanta_pull_slow_dur"	"Slow duration:"
		"DOTA_Tooltip_Ability_atalanta_pull_curse_stacks"	"Curse stack count:"

		"DOTA_Tooltip_Ability_atalanta_jump"	"Crossing Arcadia"
		"DOTA_Tooltip_Ability_atalanta_jump_Description"	"Atalanta leaps to the target location. Deals damage and curses targets at the destination point."
		"DOTA_Tooltip_Ability_atalanta_jump_damage"	"Damage:"
		"DOTA_Tooltip_Ability_atalanta_jump_radius"	"Radius:"
		"DOTA_Tooltip_Ability_atalanta_jump_curse_stacks"	"Curse stack count:"

		"DOTA_Tooltip_Ability_atalanta_curse"	"<font color='#58ACFA'>Curse of the Calydonian Boar</font>"
		"DOTA_Tooltip_Ability_atalanta_curse_Description"	"<font color='#58ACFA'>PASSIVE</font>: By attacking or by using abilities Atalanta applies <font color='#FFFF28'>Curse of the Calydonian Boar</font>. Each stack of curse increases damage dealt to the target, double if Atalanta is the source of the damage. Curse stacks are applied after all other actions ability or attack induces.\n<font color='#58ACFA'>ACTIVE</font>: after 5 seconds of chanting all curse stacks on the enemies will explode, dealing magic damage. Explosion damage is not amplified by Curse damage amplify.\nAtalanta remains active while chanting."
		"DOTA_Tooltip_Ability_atalanta_curse_duration"	"Curse duration:"
		"DOTA_Tooltip_Ability_atalanta_curse_amplify_per_stack"	"%Damage amplify per stack:"
		"DOTA_Tooltip_Ability_atalanta_curse_detonate_damage"	"Active damage per stack:"		
		"DOTA_Tooltip_Ability_atalanta_curse_max_stack"	"Max stack:"

		"DOTA_Tooltip_Ability_atalanta_curse_upgrade"	"<font color='#9FFFCC'>Curse of the Calydonian Boar</font>"
		"DOTA_Tooltip_Ability_atalanta_curse_upgrade_Description"	"<font color='#58ACFA'>PASSIVE</font>: By attacking or by using abilities Atalanta applies <font color='#FFFF28'>Curse of the Calydonian Boar</font>. Each stack of curse increases damage dealt to the target, double if Atalanta is the source of the damage. Curse stacks are applied after all other actions ability or attack induces. If a target has a certain stacks or more, Atalanta will gain vision of the target. \n<font color='#58ACFA'>ACTIVE</font>: after 5 seconds of chanting all curse stacks on the enemies will explode, dealing magic damage. Explosion damage is not amplified by Curse damage amplify.\nAtalanta remains active while chanting.\nCannot be reset."
		"DOTA_Tooltip_Ability_atalanta_curse_upgrade_duration"	"Curse duration:"
		"DOTA_Tooltip_Ability_atalanta_curse_upgrade_amplify_per_stack"	"%Damage amplify per stack:"
		"DOTA_Tooltip_Ability_atalanta_curse_upgrade_detonate_damage"	"Active damage per stack:"		
		"DOTA_Tooltip_Ability_atalanta_curse_upgrade_max_stack"	"Max stack:"
		"DOTA_Tooltip_Ability_atalanta_curse_upgrade_vision"	"Stack for vision:"	


		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter" "<font color='#58ACFA'>Tauropolos - Arrow Rain</font>"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_Description"	"Atalanta causes rain of arrows to attack her current location. Each arrow deals damage and curses enemies in a small radius.\nOnly one instance of Tauropolos - Arrow Rain can exist at time and it can't be re-casted while previous still exists.\nStops if Atalanta dies."
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_duration"	"Duration:"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_damage"	"Damage per arrow:"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_max_dist"	"Radius:"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_explosion_radius"	"Arrow damage radius:"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_curse_stacks"	"Curse stack count per arrow:"

		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_upgrade" "<font color='#9FFFCC'>Tauropolos - Arrow Rain</font>"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_upgrade_Description"	"Atalanta causes rain of arrows to attack her current location. Each arrow deals damage and curses enemies in a small radius.\nOnly one instance of Tauropolos - Arrow Rain can exist at time and it can't be re-casted while previous still exists.\nStops if Atalanta dies."
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_upgrade_duration"	"Duration:"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_upgrade_damage"	"Damage per arrow:"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_upgrade_max_dist"	"Radius:"
		"DOTA_Tooltip_Ability_atalanta_tauropolos_alter_upgrade_explosion_radius"	"Arrow damage radius:"
