		

		//=================================================================================================================
		//	Rider(5th)
		//=================================================================================================================
		"npc_dota_hero_templar_assassin"		"Medusa"
		"npc_dota_hero_templar_assassin_1"		"[Legend] Medusa Lily"
		"npc_dota_hero_templar_assassin_summon"		"Servant <font color='#58ACFA'>Medusa</font> has been summoned."

		//////////////////////// Innate ///////////////////
		
		"DOTA_Tooltip_Ability_medusa_mystic_eye"		"<font color='#FFFFFF'>Mystic Eyes</font>"
		"DOTA_Tooltip_ability_medusa_mystic_eye_Description"		"Medusa's mystic eyes Cybele passively petrify foes facing her, <font color='#FF3399'>slowing</font> them down.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Mystic Eyes</font>."
		"DOTA_Tooltip_ability_medusa_mystic_eye_Lore"	"Such wonder can be only found from Holy Spirits and Magical Beasts from the Age of Gods."
		"DOTA_Tooltip_ability_medusa_mystic_eye_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_medusa_mystic_eye_speed_modifier"	"%MOVEMENT SPEED SLOW:"

		"DOTA_Tooltip_Ability_medusa_mystic_eye_upgrade"		"<font color='#9FFFCC'>Mystic Eyes</font>"
		"DOTA_Tooltip_ability_medusa_mystic_eye_upgrade_Description"		"Medusa's mystic eyes Cybele passively petrify foes facing her, <font color='#FF3399'>slowing</font> them down."
		"DOTA_Tooltip_ability_medusa_mystic_eye_upgrade_Lore"	"Such wonder can be only found from Holy Spirits and Magical Beasts from the Age of Gods."
		"DOTA_Tooltip_ability_medusa_mystic_eye_upgrade_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_medusa_mystic_eye_upgrade_speed_modifier"	"%MOVEMENT SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_mystic_eye_upgrade_attackspeed_modifier"	"ATTACK SPEED SLOW:"

		/////////////////////// Basic /////////////////////////

		"DOTA_Tooltip_Ability_medusa_nail_swing"		"<font color='#58ACFA'>Nail Swing</font>"
		"DOTA_Tooltip_ability_medusa_nail_swing_Description"		"Medusa swings her weapon like a whip, dealing damage to nearby enemies and <font color='#FF3399'>dragging</font> them to her location."
		"DOTA_Tooltip_ability_medusa_nail_swing_Lore" "In the hands of the fastest servant, the Nameless Dagger sweeps through battle and restrains those who are unfortunate enough to face her."
		"DOTA_Tooltip_ability_medusa_nail_swing_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_medusa_nail_swing_damage"	"DAMAGE:"
		"DOTA_Tooltip_Ability_medusa_nail_swing_Note0"		"The drag affects magic-immune targets as well."
		
		"DOTA_Tooltip_Ability_medusa_breaker_gorgon"			"<font color='#58ACFA'>Breaker Gorgon</font>"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_Description"		"A powerful Bounded Field wraps small area, significantly <font color='#FF3399'>slowing</font> down all enemies.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Seal</font>"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_Lore"	"The petrified warriors of Mythical Age live forever still to tell the tale of monstrosity that lurks behind Breaker Gorgon."
		"DOTA_Tooltip_Ability_medusa_breaker_gorgon_Note0"		"Movement speed cannot below 100."
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_aspd_slow"	"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_ms_slow"	"%MOVEMENT SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_duration""DURATION:"

		"DOTA_Tooltip_Ability_medusa_breaker_gorgon_upgrade"			"<font color='#9FFFCC'>Breaker Gorgon</font>"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_upgrade_Description"		"A powerful Bounded Field wraps small area, significantly <font color='#FF3399'>slowing</font> down all enemies while increase their turn rate. Enemies that affect with Breaker Gorgon have %stone_rate%%% chance to turning into the <font color='#FF3399'>stone</font> for %stone% seconds."
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_upgrade_Lore"	"The petrified warriors of Mythical Age live forever still to tell the tale of monstrosity that lurks behind Breaker Gorgon."
		"DOTA_Tooltip_Ability_medusa_breaker_gorgon_upgrade_Note0"		"Movement speed cannot below 100."
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_upgrade_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_upgrade_aspd_slow"	"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_upgrade_ms_slow"	"%MOVEMENT SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_upgrade_turn_rate"	"%TURN RATE INCREASE:"
		"DOTA_Tooltip_ability_medusa_breaker_gorgon_upgrade_duration"	"DURATION:"
		
		"DOTA_Tooltip_Ability_medusa_bloodfort_andromeda"		"<font color='#58ACFA'>Bloodfort Andromeda</font>"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_Description"	"Medusa creates a zone of blood that <font color='#FF3399'>slows</font> movement speed of enemies inside and sucks away life force every %seal_interval% second.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Seal</font>."
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_Lore"	"Disintegrate and Drain."
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_delay"	"CAST DELAY:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_aspd_slow"	"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_ms_slow"	"%MOVEMENT SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_damage"	"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_absorb"	"ABSORBED HP PER UNIT:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_mp_absorb"	"ABSORBED MANA PER UNIT:"
