	

		"npc_dota_hero_ember_spirit"			"Emiya"
		"npc_dota_hero_ember_spirit_1"			"[Normal] Counter Guardian Emiya"
		"npc_dota_hero_ember_spirit_2"			"[Legend] Emiya Shirou"
		"npc_dota_hero_ember_spirit_3"			"[Legend] Archer Card Shirou"
		"npc_dota_hero_ember_spirit_4"			"[Limited] Cyber Emiya"
		"npc_dota_hero_ember_spirit_5"			"[Limited] Senji Muramasa"
		"npc_dota_hero_ember_spirit_summon"		"Servant <font color='#58ACFA'>Emiya</font> has been summoned."
		"npc_dota_hero_ember_spirit_enable_combo"	"Enable Combo: Arrow Rain"

		////////////////////////////// Innate /////////////////////////////
		
		"DOTA_Tooltip_Ability_archer_clairvoyance"				"<font color='#FFFFFF'>Clairvoyance</font>"
		"DOTA_Tooltip_ability_archer_clairvoyance_Description"	"Grants a vision of small area, anywhere on the map.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Eagle Eyes</font>"
		"DOTA_Tooltip_ability_archer_clairvoyance_Lore"			"Good view is the fundamental of bowman."
		"DOTA_Tooltip_ability_archer_clairvoyance_radius"		"VISION RADIUS:"
		"DOTA_Tooltip_ability_archer_clairvoyance_duration"		"VISION DURATION:"	

		"DOTA_Tooltip_Ability_archer_clairvoyance_upgrade"				"<font color='#9FFFCC'>Clairvoyance</font>"
		"DOTA_Tooltip_ability_archer_clairvoyance_upgrade_Description"	"Grants a vision of small area and can detect <font color='#FFFF28'>invisibility</font> units, anywhere on the map."
		"DOTA_Tooltip_ability_archer_clairvoyance_upgrade_Lore"			"Good view is the fundamental of bowman."
		"DOTA_Tooltip_ability_archer_clairvoyance_upgrade_radius"		"VISION RADIUS:"
		"DOTA_Tooltip_ability_archer_clairvoyance_upgrade_duration"		"VISION DURATION:"	

		////////////////////////// Basic /////////////////////////////
		
		"DOTA_Tooltip_Ability_archer_kanshou_byakuya"				"<font color='#58ACFA'>Kanshou Bakuya</font>"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_Description"	"Emiya throws blades to target location, dealing damage to each enemy it passes.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Overedge</font>"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_Lore"			"Spirit and technique, flawless and firm."
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_num_blade"		"TOTAL BLADES:"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_damage"		"DAMAGE PER BLADE:"

		"DOTA_Tooltip_Ability_archer_kanshou_byakuya_upgrade"				"<font color='#9FFFCC'>Kanshou Bakuya</font>"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_upgrade_Description"	"Emiya gains <font color='#FFFF28'>Kanshou Bakuya</font>'s stacks and throws blades to target location, dealing damage base on Emiya's attack to each enemy it passes. \n<font color='#FFFF28'>Kanshou Bakuya</font>: Increase attack speed."
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_upgrade_Lore"			"Spirit and technique, flawless and firm."
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_upgrade_num_blade"		"TOTAL BLADES:"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_upgrade_damage"		"DAMAGE PER BLADE:"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_upgrade_bonus_atk"		"%BONUS DAMAGE PER ATTACK:"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_upgrade_aspd"			"%BONUS ASPD PER STACK:"
		"DOTA_Tooltip_ability_archer_kanshou_byakuya_upgrade_max_stack"		"MAX STACKS:"

		"DOTA_Tooltip_Ability_archer_broken_phantasm"				"<font color='#58ACFA'>Broken Phantasm</font>"
		"DOTA_Tooltip_ability_archer_broken_phantasm_Description"	"<font color='#58ACFA'>CHANNEL</font>: Emiya takes aim on a target enemy. At the end of channeling, he fires a powerful arrow that <font color='#FF3399'>stuns</font> target and deals damage to target and nearby enemies. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Eagle Eyes</font>"
		"DOTA_Tooltip_ability_archer_broken_phantasm_Lore"			"I am the bone of my sword."
		"DOTA_Tooltip_ability_archer_broken_phantasm_cast_delay"	"CHANNEL DELAY:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_range"			"CAST RANGE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_total_damage"	"TARGET DAMAGE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_splash_damage"	"SPLASH DAMAGE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_radius"		"SPLASH AOE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_stun_duration"	"STUN DURATION:"

		"DOTA_Tooltip_Ability_archer_broken_phantasm_upgrade"				"<font color='#9FFFCC'>Broken Phantasm</font>"
